id,title,source,keywords,year,region,type,category,created_at
AUTO-20251225214916305134,2025-《关于强化国土空间规划基础作用促进“三地一区”建设的意见》,自然资源部,"国土空间,生态修复",2025,全国,政策文件,国土规划,2025-12-25 21:49:16
AUTO-20251225215211980211,2025.10-省级国土空间生态修复规划实施评估指南（试行）,自然资源部,"国土空间,生态修复",2025,全国,政策文件,其他,2025-12-25 21:52:11AUTO-20251225233445336475,"中国农业百科全书  农作物卷  上,中国农业百科全书总编辑委员会农作物卷编辑委员会，中国农业百科,北京：中国农业出版社_10020923",未知来源,,2092,全国,文档,其他,2025-12-25 23:34:45
AUTO-20251226041623479242,"中国农业百科全书  农作物卷  上,中国农业百科全书总编辑委员会农作物卷编辑委员会，中国农业百科,北京：中国农业出版社_10020923_pdfchunk001",自然资源部,"国土空间,生态修复",2025,全国,政策文件,其他,2025-12-26 04:16:23
AUTO-20251226043624403467,"中国农业百科全书  农作物卷  上,中国农业百科全书总编辑委员会农作物卷编辑委员会，中国农业百科,北京：中国农业出版社_10020923_pdfchunk002",自然资源部,"国土空间,生态修复",2025,全国,政策文件,其他,2025-12-26 04:36:24
